"","v.k","variable","Ing_tot.x","Monto_prom.x","Saldo.x","mu0","media","Ing_tot.y","Monto_prom.y","Saldo.y","v","njs"
"1",2,"Ing_tot",3632430920.49606,69749401.9775812,171639511.801743,4783.61316746344,4665.09708421667,59068238915877.4,1191911310033.59,2889388050658.37,16361,32627.5
"2",2,"Monto_prom",69749401.9775814,25896480.2704089,17938234.8883918,1273.92858137946,1292.00417611454,1191911310033.59,429298382642.293,312841563123.489,16361,32627.5
"3",2,"Saldo",171639511.801743,17938234.8883918,64686443.205731,568.952256405113,551.332820536455,2889388050658.37,312841563123.489,1085986866142.79,16361,32627.5
"4",1,"Ing_tot",3626456876.45453,74171954.2998204,177872906.576925,4476.79777415056,4665.09708421667,58773155692827.4,1185956958974.38,2874953729366.94,16198,32464.5
"5",1,"Monto_prom",74171954.2998204,26380065.4840968,19134433.5544915,1256.22480383291,1292.00417611454,1185956958974.38,427153765624.327,311278721595.71,16198,32464.5
"6",1,"Saldo",177872906.576925,19134433.5544915,67283652.7771511,468.142774042498,551.332820536455,2874953729366.94,311278721595.71,1080561674694.17,16198,32464.5
